id;product_id;brand;store_id;presentation;price;date
21;Deviled Ham;Underwood;Bon Bini Supermarket;120 g;5.67;28/8/23
22;Maple Ham;Underwood;Bon Bini Supermarket;120 g;5.67;28/8/23
23;Atun en Agua;Van Camps;Bon Bini Supermarket;160 g;3.23;28/8/23
24;Atun en Aceite ;Van Camps;Bon Bini Supermarket;160 g;3.53;28/8/23
25;Atun en Aceite de Oliva;Van Camps;Bon Bini Supermarket;160 g;3.96;28/8/23
26;Atun Maiz y Vegetales;Van Camps;Bon Bini Supermarket;150 g;2.93;28/8/23
27;Atun en Agua;Perfect Catch;Bon Bini Supermarket;160 g;3.34;28/8/23
28;Atun en Agua;Sa-Pac;Bon Bini Supermarket;160 g;3.12;28/8/23
29;Atun en Aceite ;Sa-Pac;Bon Bini Supermarket;160 g;3.8;28/8/23
30;Atun en Agua;Gomes;Bon Bini Supermarket;160 g;3.83;28/8/23
31;Atun en Aceite ;Gomes;Bon Bini Supermarket;160 g;3.83;28/8/23
32;Smoked Pork Chop;Otra ;Bon Bini Supermarket;1 kg;22.95;28/8/23
33;Smoked Pork Chop;Mr Raucher;Alves Supermarket;1 kg;20.99;28/8/23
34;Atun en Agua;Van Camps;Alves Supermarket;160 g;3.29;28/8/23
35;Atun en Aceite ;Van Camps;Alves Supermarket;160 g;3.53;28/8/23
36;Atun en Aceite ;Gomes;Alves Supermarket;160 g;3.99;28/8/23
37;Atun en Agua;Gomes;Alves Supermarket;160 g;3.99;28/8/23
38;Atun en Agua;Sa-Pac;Alves Supermarket;160 g;3.41;28/8/23
39;Atun en Aceite ;Sa-Pac;Alves Supermarket;160 g;3.61;28/8/23
40;Atun en Agua;Perfect Catch;Alves Supermarket;160 g;3.64;28/8/23
41;Atun en Aceite ;Van Camps;Esperamos Supermarket;160 g;3.64;28/8/23
42;Atun en Agua;Van Camps;Esperamos Supermarket;160 g;3.34;28/8/23
43;Atun en Finas Hierbas;Van Camps;Esperamos Supermarket;160 g;4.1;28/8/23
44;Atun en Aceite de Oliva;Van Camps;Esperamos Supermarket;160 g;4.1;28/8/23
45;Atun Maiz y Vegetales;Van Camps;Esperamos Supermarket;150 g;3.02;28/8/23
46;Atun Champiñones ;Van Camps;Esperamos Supermarket;150 g;3.7;28/8/23
47;Atun en Aceite ;Bala;Esperamos Supermarket;160 g;2.9;28/8/23
48;Atun en Aceite ;Gomes;Esperamos Supermarket;160 g;4;28/8/23
49;Atun en Agua;Gomes;Esperamos Supermarket;160 g;4;28/8/23
50;Atun en Agua;Sa-Pac;Esperamos Supermarket;160 g;3.38;28/8/23
51;Atun en Aceite ;Sa-Pac;Esperamos Supermarket;160 g;3.43;28/8/23
